city,team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,season
New York,Knicks,93.7,16.8,14,24.5,73.1,48.1,47,50.8,97.1,107.2,2014
New York,Knicks,92.6,16.1,12.5,25.1,74.3,49,50.5,54.1,105.4,106.5,2013
New York,Knicks,92,15.8,11.7,25.6,74.7,49.3,51.5,55,108.6,103.5,2012
New York,Knicks,95.7,14,25.9,26.7,73.7,49.9,49.2,53.3,101.4,98.4,2011
New York,Knicks,98.1,14.9,22.4,24.2,71.9,47.9,51.3,56.1,108.3,106.9,2010
New York,Knicks,96.1,15.1,23.1,23.5,72.1,47.4,50.9,54.7,105.2,109.1,2009
New York,Knicks,99,14.5,22.9,24.4,72.7,47.8,50.3,54.4,105.3,108.4,2008
New York,Knicks,107.5,13.2,23.6,28.6,72.7,49.9,47.5,51.8,88.1,96.6,2007
New York,Knicks,108.3,13,27.5,31,74,52.7,49.4,53.9,87,92.8,2006
New York,Knicks,108.9,12.5,28.3,31.2,72.8,51.8,48.1,53.4,85.2,94.3,2005
New York,Knicks,107.6,14.4,24.3,28.3,71.2,49.6,48.5,53.1,89.1,92.2,2004
New York,Knicks,106.7,14.7,26.2,28,72.8,50.7,47.4,51.8,84.7,87.4,2003
New York,Knicks,107.3,15.6,23.6,24.4,71.8,47.6,48.6,52.8,88.4,89.9,2002
Oklahoma City,Thunder,99.4,16.8,14,31.1,76,54.7,52.4,56.5,109.9,103,2015
Oklahoma City,Thunder,98.3,15.4,13.1,28.9,75.6,52.6,49.2,53.2,104.5,103.1,2014
Oklahoma City,Thunder,97.9,16.7,14,26.5,75.6,52.2,52,56.6,108.1,101,2013
Oklahoma City,Thunder,95.9,16.7,14.4,26.7,73.4,51.8,52.7,58,110.2,99.2,2012
Oklahoma City,Thunder,95.7,13.1,26.5,27.8,72.1,51.4,51.6,56.7,107.1,100,2011
Oklahoma City,Thunder,95.3,14.4,23.2,27.4,73.6,51.3,50.1,56.1,108.6,104,2010
Oklahoma City,Thunder,95.6,14,24.4,28.6,73.6,51.7,49.4,54.7,105.8,101.6,2009
Oklahoma City,Thunder,96.1,13.9,25.9,28.6,73.9,50.8,47.1,52.1,99.9,106.9,2008
Orlando,Magic,98.2,17.7,12.8,23.1,76.5,49.4,50,53.3,102.6,104.6,2015
Orlando,Magic,95.9,16.3,14,23.1,76,49,49.4,52.4,99.6,105.2,2014
Orlando,Magic,95.9,16.5,14,22.4,75.5,48.9,48.7,52.5,99.3,104.8,2013
Orlando,Magic,94.5,17.7,13.7,25.4,74.6,50,48.5,51.4,98.9,106.7,2012
Orlando,Magic,91.2,14.5,25.3,26.5,75.5,50.7,50.6,53.3,102.4,101.7,2011
Orlando,Magic,93.5,14.3,25,26.1,76.9,52.1,52.1,55.5,105.7,99.1,2010
Orlando,Magic,94.2,14.3,23.9,24.6,77.4,51.9,53.6,57.3,109.5,100.2,2009
Orlando,Magic,94.6,14.1,23.6,24,75.9,50.7,52,55.9,107.2,98.9,2008
Orlando,Magic,109.3,14.8,23.9,23.4,74.8,50.2,53.7,57.5,94.9,90.4,2007
Orlando,Magic,108.1,13.3,28,29.3,73.7,52,50,54.4,86.3,87.4,2006
Orlando,Magic,104.8,13.4,25.7,28.5,72.5,51.1,49.6,54.3,88.9,91.3,2005
Orlando,Magic,112.7,13.3,25.5,29.9,71.3,50.9,47.8,52.9,87.6,90.7,2004
Orlando,Magic,107.2,13.8,22.7,28.1,68.7,47.9,46.1,50.4,86.7,94,2003
Orlando,Magic,111.1,14.3,23.5,27,71.1,48.4,47.8,52.6,89,87.1,2002
Philadelphia,Seventysixers,100.2,16.3,14.9,20.6,74,46.4,48.7,51.9,96.6,106.7,2015
Philadelphia,Seventysixers,98.3,15.6,16,25.5,73,48.1,45.9,49.4,93,102.1,2014
Philadelphia,Seventysixers,101.6,16,14.8,24.8,72.4,47.7,47.5,51,96.8,107.5,2013
Philadelphia,Seventysixers,93.3,17.9,12.5,24.9,73.4,48.4,48.1,50.9,99.5,103,2012
Philadelphia,Seventysixers,91.9,16.2,19.6,24.4,75.2,49.7,48,51.1,101.7,96.6,2011
Philadelphia,Seventysixers,93.9,16.1,21.9,24.6,74.5,49.6,49.4,53.5,104,102.5,2010
Philadelphia,Seventysixers,93.9,14.8,24.1,27.6,73.2,50,49.6,53.4,103.4,107.6,2009
Philadelphia,Seventysixers,92.6,14.4,23.6,31.3,71.4,51.2,48.5,53.2,104.7,104.7,2008
Philadelphia,Seventysixers,108,14.4,23.6,31.8,72,51.7,48.2,52.2,89.4,88.5,2007
Philadelphia,Seventysixers,108.5,14.5,25.5,27.2,70.8,49.1,48,53,86.8,89.2,2006
Philadelphia,Seventysixers,109.8,14.3,23.4,25.6,71.3,48.5,48.7,53.8,90.4,90.4,2005
Philadelphia,Seventysixers,113.7,14.3,24.9,25.4,72.7,48.8,47.5,52.8,87,86.5,2004
Philadelphia,Seventysixers,106.1,14.4,26.8,28.2,70.7,49.7,45.6,50.5,81.8,84.9,2003
Philadelphia,Seventysixers,109.8,15,24.1,30.3,72.7,51.1,46.6,52,88.1,84.6,2002
Phoenix,Suns,100.9,15.5,15.2,25.4,77.1,50.6,48.7,52.6,99.4,107,2015
