city,team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,season
Denver,Nuggets,111.9,16,24,26.8,72,49.7,48.8,53.5,89.2,87.6,2005
Denver,Nuggets,111.7,16.3,24.3,28.4,71.7,50.2,48.3,53.5,89.5,86.2,2004
Denver,Nuggets,112.4,14.9,24.9,30.5,69.3,49.6,46.7,51.7,86.8,84.8,2003
Denver,Nuggets,111.5,14.3,29.2,31.3,73.3,51.3,42.8,46.9,74.4,83.6,2002
Detroit,Pistons,97.4,14.9,12.2,27,79.3,52.1,49.1,52.2,103.3,103.4,2015
Detroit,Pistons,95.2,16.5,12.3,27.7,75,50.4,48.2,51.5,102.3,104.2,2014
Detroit,Pistons,97.4,15.6,12.9,31.4,73.4,51.4,48.2,51.4,102.9,107.3,2013
Detroit,Pistons,93.2,16.7,14.3,28.3,73,50.2,48.7,52.1,100.9,105.6,2012
Detroit,Pistons,91.7,13.4,26,28.1,72.8,49.7,46.8,51,97.8,104,2011
Detroit,Pistons,91.5,15.3,22.2,27.4,72.1,48.7,49.5,53.3,104.6,109,2010
Detroit,Pistons,91,14.1,22.7,30.3,73.4,50.5,47.4,51.5,102.4,108.9,2009
Detroit,Pistons,89.1,15.3,20.9,27.9,74,50.6,48.3,52.4,104.5,105.2,2008
Detroit,Pistons,102.4,16.4,20.5,29.4,73.7,51.4,49.5,53.9,95.7,87,2007
Detroit,Pistons,103,15.9,21.4,28.3,70.9,49.6,48.8,53.5,93.6,87,2006
Detroit,Pistons,101.8,17.5,20.1,28.9,71.2,49.8,49.7,53.5,95.6,86.7,2005
Detroit,Pistons,103.5,15.6,23.5,31.2,73,52.3,47.2,51.9,89.2,85,2004
Detroit,Pistons,106,14.9,25.6,30.1,71.8,51.3,46.1,51.1,85,78.7,2003
Detroit,Pistons,102.7,14.7,23.6,25.9,74,49.6,47.3,52.3,88.2,84.2,2002
Golden State,Warriors,101.6,20.5,13.5,23.5,76,51.3,56.3,59.3,112.5,100.9,2015
Golden State,Warriors,100.7,19.9,13.1,24.1,74.5,50.1,54,57.1,109.7,98.2,2014
Golden State,Warriors,98.5,17.5,13.8,25.1,76.3,51.1,51.7,55,105.3,99.9,2013
Golden State,Warriors,96.8,17.3,14,25.4,75.5,51.3,50.6,54.5,104.2,102.6,2012
Golden State,Warriors,94.7,15.8,23.4,22.9,69.1,46.1,50.5,53.9,103.1,106,2011
Golden State,Warriors,97.4,15.3,23.5,26.7,69.3,47.5,51,54.4,105.5,107.6,2010
