"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17652-16301","C","Dewayne","","Dedmon","14.866666851621686","33","4000","SA@PHO","SA","PHO","","","",""
"17652-55056","PF","Dario","","Saric","18.532432762352197","37","3900","PHI@WAS","PHI","WAS","","","",""
"17652-67707","PF","Marquese","","Chriss","13.169230143229166","39","3900","SA@PHO","PHO","SA","","","",""
"17652-14505","C","Bismack","","Biyombo","18.852499389648436","40","3900","ORL@UTA","ORL","UTA","","","",""
"17652-9953","C","Ian","","Mahinmi","4.199999809265137","1","3900","PHI@WAS","WAS","PHI","O","Knee","",""
"17652-9466","PG","D.J.","","Augustin","15.063414038681403","41","3900","ORL@UTA","ORL","UTA","","","",""
"17652-66048","SF","Brandon","","Ingram","16.06511599518532","43","3800","LAL@LAC","LAL","LAC","","","",""
"17652-9737","SG","Nick","","Young","19.025000678168404","36","3800","LAL@LAC","LAL","LAC","","","",""
"17652-23407","SF","P.J.","","Tucker","16.67692370292468","39","3800","SA@PHO","PHO","SA","","","",""
"17652-59318","SF","Joe","","Ingles","13.782926233803353","41","3800","ORL@UTA","UTA","ORL","","","",""
"17652-15814","PF","Alex","","Len","19.93243243243243","37","3800","SA@PHO","PHO","SA","","","",""
"17652-24546","SG","Denzel","","Valentine","6.587500254313151","24","3800","NO@CHI","CHI","NO","GTD","Illness","",""
"17652-9448","SG","Jamal","","Crawford","17.912195717416157","41","3800","LAL@LAC","LAC","LAL","","","",""
"17652-9968","SG","Jodie","","Meeks","15.004762195405506","21","3800","ORL@UTA","ORL","UTA","","","",""
"17652-9758","SG","Danny","","Green","16.16451632591986","31","3700","SA@PHO","SA","PHO","","","",""
"17652-15730","PF","Thomas","","Robinson","11.983333333333333","30","3700","LAL@LAC","LAL","LAC","","","",""
"17652-15996","PG","Jerian","","Grant","10.634374618530273","32","3700","NO@CHI","CHI","NO","","","",""
"17652-23447","PF","Richaun","","Holmes","15.580952962239584","21","3700","PHI@WAS","PHI","WAS","","","",""
"17652-14510","SG","Alec","","Burks","2.339999961853027","5","3700","ORL@UTA","UTA","ORL","","","",""
"17652-66091","PF","Cheick","","Diallo","11.314285278320312","7","3600","NO@CHI","NO","CHI","","","",""
